gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
ec-18,AMR_TR-DNA-NOVA1-10-pst_S80,EC beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,2.0,16.14,0.21,,10000000,0.35,0.04
ec-19,AMR_TR-DNA-NOVA1-10-pst_S80,EC beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,1.0,13.23,0.13,Escherichia coli (chromosome or plasmid): 1; ,10000000,0.18,0.02
emra,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,18.0,76.3,2.24,Escherichia coli (chromosome or plasmid): 1; ,10000000,3.16,0.39
emrb,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,19.0,86.03,1.73,,10000000,3.34,0.3
emrk,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,12.0,50.09,1.61,Escherichia coli (chromosome): 3; ,10000000,2.11,0.28
emrr,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,9.0,68.55,1.77,,10000000,1.58,0.31
emry,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,18.0,77.19,1.75,,10000000,3.16,0.31
epta,AMR_TR-DNA-NOVA1-10-pst_S80,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,17.0,66.12,1.47,,10000000,2.99,0.26
ermb,AMR_TR-DNA-NOVA1-10-pst_S80,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,6.0,59.3,1.01,,10000000,1.05,0.18
ermf,AMR_TR-DNA-NOVA1-10-pst_S80,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,34.0,98.88,4.82,Bacteroides (chromosome or plasmid): 2; ,10000000,5.98,0.85
ermg,AMR_TR-DNA-NOVA1-10-pst_S80,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,25.0,88.71,4.46,,10000000,4.39,0.78
escherichia coli acra,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,17.0,59.05,1.73,Escherichia coli (chromosome or plasmid): 5; ,10000000,2.99,0.3
escherichia coli ampc beta-lactamase,AMR_TR-DNA-NOVA1-10-pst_S80,ampC-type beta-lactamase,cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,3.0,28.4,0.38,Escherichia coli (chromosome or plasmid): 1; ,10000000,0.53,0.07
escherichia coli mdfa,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,4.0,20.03,0.49,,10000000,0.7,0.09
escherichia coli soxr with mutation conferring antibiotic resistance,AMR_TR-DNA-NOVA1-10-pst_S80,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic target alteration; antibiotic efflux,protein overexpression,1,Strict,99.3548,100.0,Unknown taxonomy (chromosome or plasmid),,,,,10000000,0.0,0.0
evga,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,6.0,80.98,1.11,,10000000,1.05,0.2
evgs,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,30.0,51.98,1.21,Escherichia coli (chromosome): 2; Shigella boydii (chromosome or plasmid): 1; ,10000000,5.27,0.21
gadw,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,3.0,27.3,0.59,Escherichia coli (chromosome): 1; ,10000000,0.53,0.1
gadx,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,7.0,48.24,1.16,Escherichia coli (chromosome): 2; ,10000000,1.23,0.2
h-ns,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,34.78,0.7,,10000000,0.35,0.12
kdpe,AMR_TR-DNA-NOVA1-10-pst_S80,kdpDE,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,11.0,47.05,0.68,,10000000,1.93,0.12
lnuc,AMR_TR-DNA-NOVA1-10-pst_S80,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,38.79,1.0,Anaerostipes hadrus (chromosome or plasmid): 2; ,10000000,0.7,0.18
mdta,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,12.0,56.49,1.44,Escherichia coli (chromosome): 1; ,10000000,2.11,0.25
mdtb,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,42.0,58.28,1.99,Escherichia coli (chromosome or plasmid): 3; ,10000000,7.38,0.35
mdtc,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,26.0,46.04,1.26,Escherichia coli (chromosome): 7; Escherichia coli (chromosome or plasmid): 3; ,10000000,4.57,0.22
mdte,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,21.0,54.4,2.52,Escherichia coli (chromosome): 2; ,10000000,3.69,0.44
mdtf,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,42.0,60.66,2.02,,10000000,7.38,0.36
mdtg,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,fosfomycin,antibiotic efflux,protein homolog,0,,,,,2.0,22.41,0.24,,10000000,0.35,0.04
mdth,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,24.0,73.53,2.93,Escherichia coli (chromosome or plasmid): 1; ,10000000,4.22,0.52
mdtk,AMR_TR-DNA-NOVA1-10-pst_S80,multidrug and toxic compound extrusion (MATE) transporter,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,3.0,13.89,0.13,,10000000,0.53,0.02
mdtm,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,6.0,21.33,0.73,,10000000,1.05,0.13
mdtn,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,7.0,21.71,0.68,,10000000,1.23,0.12
mdto,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,32.0,73.0,2.33,,10000000,5.62,0.41
mdtp,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,24.0,66.12,2.43,Escherichia coli (chromosome): 1; Escherichia coli (chromosome or plasmid): 1; Shigella boydii (chromosome or plasmid): 1; ,10000000,4.22,0.43
mef(en2),AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,9.0,45.02,0.77,,10000000,1.58,0.14
mefc,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,1.0,1.39,0.01,,10000000,0.18,0.0
mel,AMR_TR-DNA-NOVA1-10-pst_S80,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,59.0,86.54,6.73,Parabacteroides distasonis (chromosome): 7; Clostridioides difficile (chromosome): 5; Parabacteroides distasonis (plasmid): 11; ,10000000,10.37,1.18
mpha,AMR_TR-DNA-NOVA1-10-pst_S80,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,6.0,33.77,0.93,Escherichia coli (chromosome or plasmid): 1; ,10000000,1.05,0.16
msba,AMR_TR-DNA-NOVA1-10-pst_S80,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,protein homolog,0,,,,,14.0,52.03,0.91,Shigella flexneri (chromosome): 1; ,10000000,2.46,0.16
ompa,AMR_TR-DNA-NOVA1-10-pst_S80,General Bacterial Porin with reduced permeability to beta-lactams,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,reduced permeability to antibiotic,protein homolog,0,,,,,8.0,52.71,0.6,,10000000,1.41,0.11
pmrf,AMR_TR-DNA-NOVA1-10-pst_S80,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,10.0,59.75,1.45,,10000000,1.76,0.25
qacedelta1,AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,1.0,29.31,0.29,Klebsiella pneumoniae (chromosome or plasmid): 1; ,10000000,0.18,0.05
sat-4,AMR_TR-DNA-NOVA1-10-pst_S80,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.4475,98.89,Unknown taxonomy (chromosome or plasmid),28.0,100.0,6.35,,10000000,4.92,1.12
sul1,AMR_TR-DNA-NOVA1-10-pst_S80,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement,protein homolog,0,,,,,1.0,15.95,0.16,,10000000,0.18,0.03
sul2,AMR_TR-DNA-NOVA1-10-pst_S80,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement,protein homolog,0,,,,,18.0,86.4,3.18,,10000000,3.16,0.56
tem-55,AMR_TR-DNA-NOVA1-10-pst_S80,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,3.0,36.82,0.52,,10000000,0.53,0.09
tem-91,AMR_TR-DNA-NOVA1-10-pst_S80,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,4.0,31.01,0.7,,10000000,0.7,0.12
tet(32),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,16.0,46.82,1.02,,10000000,2.81,0.18
tet(40),AMR_TR-DNA-NOVA1-10-pst_S80,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,27.0,54.3,3.14,,10000000,4.75,0.55
tet(44),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2.0,10.3,0.16,,10000000,0.35,0.03
tet(m),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4.0,21.35,0.27,,10000000,0.7,0.05
tet(o),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,71.5625,98.895,Anaerostipes hadrus (chromosome or plasmid) Unknown taxonomy (chromosome or plasmid),178.0,98.59,11.28,Streptococcus suis (chromosome): 1; Anaerostipes hadrus (chromosome): 1; Anaerostipes hadrus (chromosome or plasmid): 7; Streptococcus suis (chromosome or plasmid): 2; ,10000000,31.29,1.98
tet(o/32/o),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2.0,14.17,0.16,,10000000,0.35,0.03
tet(o/m/o),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,12.0,20.26,0.94,Streptococcus suis (chromosome or plasmid): 2; ,10000000,2.11,0.17
tet(o/w),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,34.0,53.33,2.41,Ruthenibacterium lactatiformans (chromosome): 4; Trueperella pyogenes (chromosome): 2; ,10000000,5.98,0.42
tet(o/w/32/o),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6.0,20.73,0.46,,10000000,1.05,0.08
tet(q),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.848,96.35,Unknown taxonomy (chromosome),290.0,100.0,20.57,Bacteroides fragilis (chromosome): 13; ,10000000,50.97,3.62
tet(w),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.84,Unknown taxonomy (chromosome),158.0,100.0,11.71,Ruthenibacterium lactatiformans (chromosome): 2; ,10000000,27.77,2.06
tet(w/32/o),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,10.0,45.05,0.74,Trueperella pyogenes (chromosome): 2; ,10000000,1.76,0.13
tet(w/n/w),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,15.0,38.44,1.07,Ruthenibacterium lactatiformans (chromosome): 2; ,10000000,2.64,0.19
tet(x),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.7429,99.48,Unknown taxonomy (chromosome or plasmid),80.0,93.49,9.19,,10000000,14.06,1.62
tet(x1),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.7222,99.72,Unknown taxonomy (chromosome),117.0,100.0,14.39,Bacteroides fragilis (chromosome): 5; ,10000000,20.57,2.53
tet(x3),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,18.0,35.99,2.23,,10000000,3.16,0.39
tet(x4),AMR_TR-DNA-NOVA1-10-pst_S80,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,9.07,0.09,,10000000,0.18,0.02
tolc,AMR_TR-DNA-NOVA1-10-pst_S80,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,20.0,56.38,1.77,Escherichia coli (chromosome): 2; Escherichia coli (chromosome or plasmid): 2; ,10000000,3.52,0.31
ugd,AMR_TR-DNA-NOVA1-10-pst_S80,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,9.0,27.51,0.51,Escherichia coli (chromosome or plasmid): 1; ,10000000,1.58,0.09
vang,AMR_TR-DNA-NOVA1-10-pst_S80,glycopeptide resistance gene cluster; Van ligase,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,1.0,10.0,0.1,,10000000,0.18,0.02
vanr gene in vang cluster,AMR_TR-DNA-NOVA1-10-pst_S80,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,8.0,28.53,0.8,,10000000,1.41,0.14
vant gene in vang cluster,AMR_TR-DNA-NOVA1-10-pst_S80,glycopeptide resistance gene cluster; vanT,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,9.0,31.79,0.43,,10000000,1.58,0.08
vanxy gene in vang cluster,AMR_TR-DNA-NOVA1-10-pst_S80,glycopeptide resistance gene cluster; vanXY,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,7.0,59.61,1.19,,10000000,1.23,0.21
yoji,AMR_TR-DNA-NOVA1-10-pst_S80,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,13.0,49.64,1.19,,10000000,2.29,0.21
aad(6),AMR_TR-DNA-NOVA1-10-pre_S79,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.639,100.0,Unknown taxonomy (chromosome or plasmid),34,96.87,5.76,,10000000,4.82,0.82
aads,AMR_TR-DNA-NOVA1-10-pre_S79,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.6528,100.0,Unknown taxonomy (chromosome or plasmid),50,100.0,6.82,,10000000,7.08,0.97
ant(6)-ia,AMR_TR-DNA-NOVA1-10-pre_S79,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,15,32.99,1.87,,10000000,2.12,0.26
aph(3')-iiia,AMR_TR-DNA-NOVA1-10-pre_S79,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,56,97.74,8.48,,10000000,7.93,1.2
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-10-pre_S79,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,80,35.24,0.38,,10000000,11.33,0.05
cbla-1,AMR_TR-DNA-NOVA1-10-pre_S79,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,18,53.42,3.03,,10000000,2.55,0.43
cfxa2,AMR_TR-DNA-NOVA1-10-pre_S79,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Perfect,99.6894,100.0,Unknown taxonomy (chromosome or plasmid),62,100.0,9.09,,10000000,8.78,1.29
dfrf,AMR_TR-DNA-NOVA1-10-pre_S79,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,25.05,0.5,,10000000,0.28,0.07
ermf,AMR_TR-DNA-NOVA1-10-pre_S79,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,6,79.15,1.12,,10000000,0.85,0.16
ermg,AMR_TR-DNA-NOVA1-10-pre_S79,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,24,66.8,4.67,Bacteroides ovatus (chromosome): 2; ,10000000,3.4,0.66
esp-1,AMR_TR-DNA-NOVA1-10-pre_S79,ESP beta-lactamase,carbapenem,antibiotic inactivation,protein homolog,0,,,,,2,2.29,0.05,,10000000,0.28,0.01
lnuc,AMR_TR-DNA-NOVA1-10-pre_S79,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,60.61,0.61,,10000000,0.28,0.09
mef(en2),AMR_TR-DNA-NOVA1-10-pre_S79,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,8,24.88,1.0,,10000000,1.13,0.14
mel,AMR_TR-DNA-NOVA1-10-pre_S79,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,86,100.0,10.08,Clostridioides difficile (chromosome): 16; Parabacteroides distasonis (chromosome): 5; Parabacteroides distasonis (plasmid): 8; ,10000000,12.18,1.43
